facet_raw,facet_name,inferrable,category,description,score_anchor_1,score_anchor_3,score_anchor_5,polarity,weight
Music-lessons years,Music-lessons years,False,General,,,,,,1.0
Warmheartedness,Warmheartedness,True,Personality,"This facet measures the degree to which a conversation turn reflects kindness, empathy, and genuine interest in others' well-being.",The speaker shows little to no concern for others' feelings or well-being.,"The speaker is occasionally kind and considerate, but it is not a consistent trait.","The speaker consistently displays warmth, kindness, and a genuine interest in others' well-being.",positive,1.0
Self-effacement,Self-effacement,True,General,"This facet measures the degree to which a conversation turn reflects the speaker's tendency to downplay their own achievements, abilities, or importance.",The speaker readily acknowledges and takes pride in their accomplishments.,"The speaker may occasionally downplay their achievements, but also acknowledges their strengths.","The speaker consistently minimizes their own importance, achievements, or abilities.",neutral,1.0
Outspokenness,Outspokenness,True,Personality,This facet measures the extent to which a person expresses their thoughts and opinions freely in a conversation turn,The person is very quiet and does not express their thoughts or opinions,"The person occasionally expresses their thoughts and opinions, but also listens to others","The person dominates the conversation, expressing their thoughts and opinions frequently and assertively",positive,1.0
Sleep-environment temperature,Sleep-environment temperature,False,General,,,,,,1.0
Comprehension of spoken information,Comprehension of spoken information,True,Linguistic,This facet measures the ability to understand and process spoken information in a conversation turn,The person struggles to understand the conversation and frequently asks for clarification,"The person generally understands the conversation, but may occasionally need clarification",The person quickly and easily understands complex spoken information and responds thoughtfully,positive,1.0
Blissfulness,Blissfulness,True,Emotional,This facet measures the extent to which a person expresses happiness and joy in a conversation turn,"The person appears unhappy, unenthusiastic, or disinterested in the conversation","The person is neutral, neither expressing nor suppressing happiness or joy","The person is extremely happy, enthusiastic, and joyful, often expressing excitement and delight",positive,1.0
Sequential Memory Recall,Sequential Memory Recall,True,General,This facet measures the ability to recall a sequence of events or information in a conversation turn,The person struggles to recall even simple sequences of events or information,"The person can recall some sequences of events or information, but may make occasional errors",The person can quickly and accurately recall complex sequences of events or information,positive,1.0
Withdrawnness,Withdrawnness,True,General,"This facet measures the extent to which a person is reserved, distant, or unengaged in a conversation turn","The person is very engaged, interactive, and responsive in the conversation","The person is moderately engaged, occasionally contributing to the conversation","The person is very withdrawn, rarely contributing to the conversation and appearing uninterested",negative,1.0
Conservatism,Conservatism,True,General,This facet measures the extent to which a person holds traditional or conventional views in a conversation turn,"The person holds very progressive or unconventional views, often challenging traditional norms","The person holds moderate views, balancing traditional and progressive perspectives","The person holds very traditional or conservative views, often resisting change or new ideas",neutral,1.0
Ardency,Ardency,True,General,"This facet measures the extent to which a person expresses passion, enthusiasm, or intensity in a conversation turn","The person appears unenthusiastic, apathetic, or disinterested in the conversation","The person is moderately engaged, showing some interest or enthusiasm","The person is extremely passionate, enthusiastic, or intense, often expressing strong emotions or convictions",positive,1.0
Aesthetic Appreciation,Aesthetic Appreciation,True,General,This facet measures the ability to appreciate and understand artistic or creative expressions in a conversation turn,The person shows little or no appreciation for artistic or creative expressions,"The person has a moderate appreciation for artistic or creative expressions, but may not fully understand their significance","The person has a deep and nuanced appreciation for artistic or creative expressions, often analyzing and interpreting their meaning",positive,1.0
Value orientation: Universalism,Value orientation: Universalism,True,General,This facet measures the extent to which a person values the well-being and unity of all people in a conversation turn,The person prioritizes individual or group interests over the well-being of all people,The person balances individual or group interests with a moderate concern for the well-being of all people,"The person strongly values the well-being and unity of all people, often prioritizing collective interests over individual or group concerns",positive,1.0
Perseverance,Perseverance,True,Behavioral,This facet measures the ability to persist in the face of challenges or obstacles in a conversation turn,The person easily gives up or becomes discouraged when faced with challenges or obstacles,"The person shows moderate persistence, but may occasionally become frustrated or discouraged","The person is extremely persistent, continuing to strive for goals despite significant challenges or obstacles",positive,1.0
Regularity of Self-Reflection,Regularity of Self-Reflection,True,General,This facet measures the extent to which a person engages in regular self-reflection and introspection in a conversation turn,The person rarely or never engages in self-reflection or introspection,"The person occasionally engages in self-reflection or introspection, but may not do so regularly","The person regularly engages in self-reflection and introspection, often examining their thoughts, feelings, and actions",positive,1.0
Controlling Reactions,Controlling Reactions,True,General,This facet measures the ability to manage and regulate one's emotional reactions in a conversation turn,"The person has difficulty controlling their emotional reactions, often becoming overly emotional or reactive","The person has moderate control over their emotional reactions, but may occasionally struggle with regulation","The person has excellent control over their emotional reactions, remaining calm and composed even in challenging situations",positive,1.0
Psychological construct: Cultural Intelligence – Behavioral,Psychological construct: Cultural Intelligence – Behavioral,True,Cognitive,This facet measures the ability to adapt and navigate different cultural contexts in a conversation turn,The person shows little or no awareness of cultural differences and may unintentionally offend or misunderstand others,The person has a moderate understanding of cultural differences and may occasionally adapt their behavior to accommodate others,"The person has a high level of cultural intelligence, often adapting their behavior and communication style to effectively navigate diverse cultural contexts",positive,1.0
Metabolic Rate (Low or High),Metabolic Rate (Low or High),False,General,,,,,,1.0
Dietary Habits,Dietary Habits,False,Behavioral,,,,,,1.0
Significance: Desire to make an impact,Significance: Desire to make an impact,True,General,This facet measures the extent to which a person strives to make a meaningful difference or have a significant impact in a conversation turn,The person shows little or no desire to make an impact or have a significant influence,"The person has a moderate desire to make an impact, but may not always prioritize this goal","The person has a strong desire to make a significant impact, often striving to inspire, motivate, or influence others",positive,1.0
Psychological construct: Resilience-Trait score,Psychological construct: Resilience-Trait score,True,Cognitive,"This facet measures the ability to cope with and recover from adversity, trauma, or stress in a conversation turn","The person has difficulty coping with adversity, often becoming overwhelmed or struggling to recover","The person has moderate resilience, but may occasionally struggle to cope with significant challenges","The person has a high level of resilience, often bouncing back quickly from adversity and coping effectively with challenging situations",positive,1.0
Boredom Susceptibility,Boredom Susceptibility,True,Personality,This facet measures the tendency to experience boredom or disengagement in a conversation turn.,"The speaker shows high interest and engagement in the topic, asking follow-up questions and exploring the subject in depth.","The speaker appears moderately engaged, responding to questions and comments but not initiating new topics or showing strong enthusiasm.","The speaker exhibits clear signs of boredom, such as yawning, changing the subject, or showing a lack of interest in the conversation.",negative,1.0
Psychological construct: Consummatory Pleasure scale,Psychological construct: Consummatory Pleasure scale,True,Cognitive,,,,,,1.0
Macronutrient ratio: carbs,Macronutrient ratio: carbs,False,General,,,,,,1.0
Passport-stamps count,Passport-stamps count,False,General,,,,,,1.0
Local-food sourcing %,Local-food sourcing %,False,General,,,,,,1.0
Patient care orientation,Patient care orientation,True,General,This facet measures the degree to which a person prioritizes and shows concern for the well-being of others in a conversation turn.,"The speaker shows little to no concern for others, focusing primarily on their own needs or interests.","The speaker exhibits a moderate level of concern, asking about others' well-being or showing interest in their experiences.","The speaker displays a strong patient care orientation, actively listening, empathizing, and prioritizing the needs of others.",positive,1.0
Soft-skill training hours,Soft-skill training hours,False,General,,,,,,1.0
Graffiti appreciation,Graffiti appreciation,False,General,,,,,,1.0
Preference for Home-Cooked vs Restaurant Meals,Preference for Home-Cooked vs Restaurant Meals,False,General,,,,,,1.0
Immune-response age,Immune-response age,False,General,,,,,,1.0
Social-cognition variable: Cognitive Empathy,Social-cognition variable: Cognitive Empathy,True,Social,,,,,,1.0
Kink-interest diversity,Kink-interest diversity,False,General,,,,,,1.0
Judging Consequences,Judging Consequences,True,General,This facet measures the ability to evaluate and consider the potential outcomes or consequences of actions or decisions in a conversation turn.,"The speaker shows little to no ability to evaluate consequences, acting impulsively or without consideration for potential outcomes.","The speaker exhibits a moderate level of consequence evaluation, considering some potential outcomes but not necessarily weighing all options.","The speaker displays high levels of consequence evaluation, carefully considering multiple potential outcomes and weighing the pros and cons of different actions.",positive,1.0
Harmfulness,Harmfulness,True,Safety/Ethics,This facet measures the degree to which a person's words or actions may cause harm or negative consequences to others in a conversation turn.,"The speaker's words or actions are benign, causing no harm or negative consequences to others.","The speaker's words or actions may cause some minor harm or negative consequences, but these are unintentional or minimal.","The speaker's words or actions are intentionally hurtful or cause significant harm to others, such as bullying, mocking, or manipulating.",negative,1.0
Affinity,Affinity,True,General,"This facet measures the degree to which a person feels a sense of connection, liking, or fondness towards others in a conversation turn.","The speaker shows little to no affinity, appearing distant, cold, or uninterested in others.","The speaker exhibits a moderate level of affinity, being friendly and courteous but not necessarily showing strong emotional connection.","The speaker displays high levels of affinity, showing genuine warmth, empathy, and interest in others, and forming strong emotional bonds.",positive,1.0
Abasement,Abasement,True,General,"This facet measures the degree to which a person exhibits self-deprecation, humility, or a willingness to submit to others in a conversation turn.","The speaker shows little to no abasement, appearing confident, assertive, and unwilling to submit to others.","The speaker exhibits a moderate level of abasement, being willing to listen to others and consider their perspectives, but not necessarily submitting to them.","The speaker displays high levels of abasement, excessively self-deprecating, humble, or submissive, and prioritizing others' needs over their own.",neutral,1.0
Chronic pain presence,Chronic pain presence,True,General,This facet measures the degree to which a person experiences or discusses chronic pain in a conversation turn.,"The speaker shows no indication of chronic pain, appearing healthy and pain-free.","The speaker mentions some discomfort or pain, but it is not a dominant theme in the conversation.","The speaker's conversation is dominated by discussions of chronic pain, its impact on their life, and their struggles to manage it.",negative,1.0
Initiative,Initiative,True,Behavioral,"This facet measures the degree to which a person takes the lead, initiates actions, or proposes new ideas in a conversation turn.","The speaker shows little to no initiative, waiting for others to take the lead or propose ideas.","The speaker exhibits a moderate level of initiative, occasionally proposing ideas or taking the lead, but not consistently.","The speaker displays high levels of initiative, consistently taking the lead, proposing new ideas, and driving the conversation forward.",positive,1.0
Courageousness,Courageousness,True,General,"This facet measures the degree to which a person shows bravery, resilience, or a willingness to take risks in a conversation turn.","The speaker shows little to no courageousness, avoiding challenges, risks, or difficult topics.","The speaker exhibits a moderate level of courageousness, being willing to discuss some difficult topics or take calculated risks.","The speaker displays high levels of courageousness, showing bravery, resilience, and a willingness to take bold action or confront challenging situations.",positive,1.0
Joyfulness,Joyfulness,True,Emotional,"This facet measures the degree to which a person experiences or expresses happiness, delight, or pleasure in a conversation turn.","The speaker shows little to no joyfulness, appearing neutral, serious, or unhappy.","The speaker exhibits a moderate level of joyfulness, smiling, laughing, or showing some enthusiasm, but not excessively.","The speaker displays high levels of joyfulness, being extremely happy, enthusiastic, or delighted, and conveying a strong sense of pleasure or enjoyment.",positive,1.0
Suspicion,Suspicion,True,Emotional,"This facet measures the degree to which a person is distrustful, skeptical, or questioning of others' motives or intentions in a conversation turn.","The speaker shows little to no suspicion, trusting others and assuming good intentions.","The speaker exhibits a moderate level of suspicion, being cautious or questioning, but not excessively so.","The speaker displays high levels of suspicion, being extremely distrustful, skeptical, or paranoid, and questioning others' motives or intentions.",negative,1.0
Basophil count,Basophil count,False,General,,,,,,1.0
Attachment avoidance score,Attachment avoidance score,True,Behavioral,"This facet measures the degree to which a person avoids emotional intimacy, closeness, or attachment to others in a conversation turn.","The speaker shows little to no attachment avoidance, being open to emotional intimacy and closeness with others.","The speaker exhibits a moderate level of attachment avoidance, being somewhat guarded or hesitant to form close relationships, but not excessively so.","The speaker displays high levels of attachment avoidance, strongly avoiding emotional intimacy, closeness, or attachment to others, and prioritizing independence or self-reliance.",negative,1.0
Brazenness,Brazenness,True,Personality,"This facet measures the degree to which a person is bold, impudent, or shamelessly confident in a conversation turn.","The speaker shows little to no brazenness, being modest, humble, or unassuming.","The speaker exhibits a moderate level of brazenness, being confident and self-assured, but not excessively so.","The speaker displays high levels of brazenness, being extremely bold, impudent, or shamelessly confident, and disregarding social norms or conventions.",neutral,1.0
Talkativeness,Talkativeness,True,General,This facet measures the extent to which a person dominates the conversation with their own thoughts and words.,The person barely speaks or contributes to the conversation.,"The person participates in the conversation, sharing their thoughts and listening to others.","The person dominates the conversation, speaking extensively and barely letting others contribute.",neutral,1.0
Equitableness,Equitableness,True,General,This facet measures the extent to which a person treats others fairly and justly in the conversation.,The person shows blatant disregard for others' feelings and opinions.,The person is generally respectful but may occasionally interrupt or dismiss others.,"The person consistently treats others with respect, empathy, and fairness.",positive,1.0
Ideas generated/day,Ideas generated/day,False,General,,,,,,1.0
Originality,Originality,True,General,This facet measures the extent to which a person contributes unique and creative ideas to the conversation.,The person's contributions are unoriginal and lack creativity.,"The person occasionally shares interesting perspectives, but they are not particularly innovative.","The person consistently brings fresh, innovative, and thought-provoking ideas to the conversation.",positive,1.0
Fearfulness: Fear of physical dangers,Fearfulness: Fear of physical dangers,True,Emotional,This facet measures the extent to which a person expresses fear or anxiety about physical harm or danger in the conversation.,The person shows no concern or fear about physical dangers.,The person occasionally expresses caution or concern about potential physical risks.,"The person is excessively fearful or anxious about physical dangers, dominating the conversation with their worries.",negative,1.0
Dance rehearsal hours/week,Dance rehearsal hours/week,False,General,,,,,,1.0
Public-transport km/week,Public-transport km/week,False,General,,,,,,1.0
Social Desirability Bias,Social Desirability Bias,True,Social,"This facet measures the extent to which a person presents themselves in a socially desirable way, even if it means being dishonest or insincere.","The person is transparent and honest about their thoughts and feelings, without trying to impress others.","The person occasionally presents themselves in a more favorable light, but is generally truthful.","The person consistently tries to present themselves in an overly positive or impressive way, even if it means being dishonest.",negative,1.0
Disagreeableness,Disagreeableness,True,Personality,"This facet measures the extent to which a person is argumentative, confrontational, or uncooperative in the conversation.","The person is cooperative, respectful, and open to others' opinions.","The person occasionally disagrees or argues with others, but is generally respectful.","The person is consistently argumentative, confrontational, and uncooperative, dominating the conversation with their negative attitude.",negative,1.0
Participation in Community Activities,Participation in Community Activities,True,Social,This facet measures the extent to which a person engages in and discusses community-related activities and issues in the conversation.,The person shows no interest or involvement in community activities.,The person occasionally participates in or discusses community-related issues.,"The person is highly engaged in and passionate about community activities, frequently discussing them in the conversation.",positive,1.0
Impudence,Impudence,True,Safety/Ethics,"This facet measures the extent to which a person is rude, insolent, or disrespectful in the conversation.",The person is respectful and considerate of others.,"The person occasionally uses slightly rude or sarcastic language, but is generally respectful.","The person consistently uses rude, insulting, or condescending language, showing a lack of respect for others.",negative,1.0
Analogies,Analogies,True,Cognitive,"This facet measures the extent to which a person uses analogies, metaphors, or other figurative language to make points or explain concepts in the conversation.",The person rarely or never uses analogies or figurative language.,The person occasionally uses simple analogies or metaphors to illustrate a point.,The person frequently uses creative and effective analogies to explain complex concepts or make compelling arguments.,positive,1.0
Clumsiness,Clumsiness,True,General,"This facet measures the extent to which a person is awkward, inarticulate, or struggles to express themselves effectively in the conversation.","The person is articulate, clear, and effective in their communication.",The person occasionally struggles to find the right words or express themselves clearly.,"The person consistently struggles to communicate effectively, using awkward language or failing to convey their intended meaning.",negative,1.0
Tendency Toward Compromise or Confrontation,Tendency Toward Compromise or Confrontation,True,General,This facet measures the extent to which a person seeks to find common ground and compromise versus confronting or arguing with others in the conversation.,"The person is highly confrontational and argumentative, rarely seeking compromise.","The person occasionally seeks compromise, but may also be willing to argue or confront others.","The person consistently seeks to find common ground and compromise, avoiding confrontation whenever possible.",positive,1.0
Robotics-interaction frequency,Robotics-interaction frequency,False,General,,,,,,1.0
Casual lifestyle,Casual lifestyle,True,Behavioral,"This facet measures the extent to which a person prioritizes relaxation, leisure, and enjoyment in their life, as discussed in the conversation.","The person prioritizes work, productivity, and responsibility over leisure and relaxation.","The person balances work and leisure, occasionally discussing their hobbies or interests.","The person consistently prioritizes a casual, relaxed lifestyle, frequently discussing their leisure activities and hobbies.",neutral,1.0
Collectedness,Collectedness,True,General,"This facet measures the extent to which a person is calm, composed, and in control of their emotions in the conversation.","The person is highly emotional, reactive, or volatile.","The person is generally calm, but may occasionally become upset or defensive.","The person is consistently calm, composed, and in control of their emotions, even in challenging or stressful situations.",positive,1.0
Reliance on context,Reliance on context,True,General,"This facet measures the extent to which a person uses contextual information, such as shared knowledge or previous conversations, to inform their understanding and contributions to the conversation.",The person rarely or never uses contextual information to inform their contributions.,The person occasionally uses contextual information to clarify or support their points.,"The person consistently uses contextual information to build on previous conversations, make connections, and deepen understanding.",positive,1.0
Delegation skills,Delegation skills,True,Behavioral,"This facet measures the extent to which a person effectively assigns tasks, responsibilities, or authority to others in the conversation.",The person rarely or never delegates tasks or responsibilities to others.,"The person occasionally assigns tasks or responsibilities, but may not provide clear guidance or support.","The person consistently delegates tasks and responsibilities effectively, providing clear guidance, support, and feedback to others.",positive,1.0
Managing emotions,Managing emotions,True,Emotional,"This facet measures the ability to recognize, understand, and manage one's own emotions in a conversation turn",The speaker seems overwhelmed by their emotions and struggles to articulate their thoughts,The speaker acknowledges their emotions but may not fully understand or effectively manage them,"The speaker demonstrates a high degree of emotional awareness, regulation, and effective expression",positive,1.0
Scripture memorization verses,Scripture memorization verses,False,General,,,,,,1.0
Conventional,Conventional,True,Personality,"This facet measures the degree to which a speaker adheres to traditional norms, values, and expectations in a conversation turn",The speaker frequently challenges or disregards conventional norms and expectations,The speaker occasionally questions conventional norms but generally adheres to them,"The speaker consistently adheres to and upholds traditional norms, values, and expectations",neutral,1.0
Open-source contributions,Open-source contributions,False,General,,,,,,1.0
Psychological construct: Social Conformity tendency,Psychological construct: Social Conformity tendency,True,Cognitive,"This facet measures the tendency to conform to the opinions, behaviors, or attitudes of others in a conversation turn","The speaker rarely, if ever, conforms to the opinions or behaviors of others","The speaker occasionally conforms to the opinions or behaviors of others, but also maintains some independence","The speaker frequently conforms to the opinions, behaviors, or attitudes of others, even if it means suppressing their own thoughts or feelings",neutral,1.0
Individuality,Individuality,True,Personality,"This facet measures the degree to which a speaker expresses their unique thoughts, feelings, and experiences in a conversation turn","The speaker rarely expresses their own thoughts, feelings, or experiences, instead mirroring others",The speaker occasionally expresses their individuality but may also seek to fit in or avoid conflict,"The speaker consistently expresses their unique thoughts, feelings, and experiences, even if they differ from those of others",positive,1.0
Attachment style: Secure,Attachment style: Secure,True,Psychological,"This facet measures the degree to which a speaker exhibits a secure attachment style, characterized by comfort with intimacy and independence","The speaker exhibits significant anxiety or avoidance in their relationships, indicating an insecure attachment style",The speaker is somewhat comfortable with intimacy but may struggle with emotional regulation or independence,"The speaker consistently demonstrates a secure attachment style, being comfortable with intimacy, independence, and emotional expression",positive,1.0
Intelligence Quotient (IQ),Intelligence Quotient (IQ),True,Cognitive,"This facet measures the speaker's cognitive abilities, such as reasoning, problem-solving, and knowledge acquisition","The speaker struggles with basic cognitive tasks, such as following instructions or understanding simple concepts","The speaker demonstrates average cognitive abilities, able to understand and apply everyday knowledge","The speaker exhibits exceptional cognitive abilities, demonstrating advanced problem-solving skills, critical thinking, and knowledge acquisition",positive,1.0
Blog-subscriber count,Blog-subscriber count,False,General,,,,,,1.0
Non-Verbal Communication Skills,Non-Verbal Communication Skills,True,Linguistic,"This facet measures the speaker's ability to effectively communicate through non-verbal cues, such as body language and tone of voice","The speaker's non-verbal cues are inconsistent, confusing, or misleading",The speaker's non-verbal cues are generally consistent with their verbal message but may lack nuance or subtlety,"The speaker's non-verbal cues are highly effective, conveying their intended message with clarity and precision",positive,1.0
Drug-use history,Drug-use history,False,General,,,,,,1.0
Commute time/day,Commute time/day,False,General,,,,,,1.0
Decision-making speed,Decision-making speed,True,General,"This facet measures the speed at which a speaker can make decisions, weighing options and considering consequences","The speaker takes an inordinate amount of time to make decisions, often struggling with indecision","The speaker makes decisions at a moderate pace, considering some options and consequences","The speaker can make decisions quickly, efficiently weighing options and considering consequences",positive,1.0
Psychological construct: Excuse-Making tendency,Psychological construct: Excuse-Making tendency,True,Cognitive,"This facet measures the tendency to make excuses or justify one's own behavior, rather than taking responsibility","The speaker rarely makes excuses, instead taking ownership of their actions and their consequences","The speaker occasionally makes excuses, but also acknowledges their role in the situation","The speaker frequently makes excuses, blaming external circumstances or others for their own behavior",negative,1.0
Peer-to-peer lending usage,Peer-to-peer lending usage,False,Social,,,,,,1.0
Psychological construct: Eye-Contact avoidance score,Psychological construct: Eye-Contact avoidance score,True,Cognitive,"This facet measures the tendency to avoid eye contact, which can indicate discomfort, dishonesty, or lack of confidence","The speaker maintains eye contact consistently, indicating confidence and honesty","The speaker occasionally avoids eye contact, but generally maintains it during conversations","The speaker frequently avoids eye contact, often looking away or down during conversations",negative,1.0
Social-cognition variable: Faux Pas Recognition accuracy,Social-cognition variable: Faux Pas Recognition accuracy,True,Social,"This facet measures the ability to recognize and understand social faux pas, such as inappropriate comments or behaviors","The speaker rarely recognizes or understands social faux pas, often unintentionally offending others","The speaker occasionally recognizes social faux pas, but may not fully understand their impact or implications","The speaker consistently recognizes and understands social faux pas, demonstrating high social cognition and empathy",positive,1.0
Use of Nature as a Stress Reliever,Use of Nature as a Stress Reliever,True,General,This facet measures the degree to which a speaker uses nature as a means of reducing stress and improving well-being,"The speaker rarely, if ever, mentions or utilizes nature as a stress reliever","The speaker occasionally mentions or utilizes nature as a stress reliever, but may not prioritize it","The speaker frequently uses nature as a means of reducing stress and improving well-being, prioritizing outdoor activities and environmental connection",positive,1.0
Attitude toward learning,Attitude toward learning,True,General,"This facet measures the speaker's attitude toward learning, including their motivation, curiosity, and openness to new experiences","The speaker exhibits a negative attitude toward learning, showing disinterest or resistance to new experiences","The speaker has a moderate attitude toward learning, being somewhat open to new experiences but not actively seeking them out","The speaker demonstrates a highly positive attitude toward learning, being highly motivated, curious, and open to new experiences",positive,1.0
Honesty-humility trait score,Honesty-humility trait score,True,General,"This facet measures the degree to which a speaker exhibits honesty and humility, including their willingness to admit mistakes and learn from feedback","The speaker exhibits low levels of honesty and humility, often being dishonest or defensive","The speaker demonstrates moderate levels of honesty and humility, being somewhat open to feedback but also somewhat defensive","The speaker consistently exhibits high levels of honesty and humility, being transparent, accountable, and open to learning from feedback",positive,1.0
Digital-nomad months,Digital-nomad months,False,General,,,,,,1.0
Snacking Behavior,Snacking Behavior,False,Behavioral,,,,,,1.0
Aura-color perception,Aura-color perception,False,General,,,,,,1.0
Cloud-backup frequency,Cloud-backup frequency,False,General,,,,,,1.0
Learning Style,Learning Style,True,General,"This facet measures the speaker's preferred approach to learning, including their use of visual, auditory, or kinesthetic methods","The speaker's learning style is unclear or undeveloped, with no apparent preference for visual, auditory, or kinesthetic methods","The speaker has a moderate learning style, using a combination of visual, auditory, and kinesthetic methods but not consistently","The speaker has a well-developed and consistent learning style, effectively using visual, auditory, or kinesthetic methods to acquire new knowledge and skills",positive,1.0
Safety compliance,Safety compliance,True,Safety/Ethics,This facet measures the extent to which a conversation turn adheres to established safety protocols and guidelines.,"The speaker ignores or disregards safety rules, showing no concern for potential risks.",The speaker mentions safety procedures but does not emphasize their importance or provide specific examples.,"The speaker consistently prioritizes safety, providing detailed explanations of safety protocols and their rationale.",positive,1.0
Sensationalism,Sensationalism,True,Personality,This facet measures the degree to which a conversation turn uses exaggerated or provocative language to attract attention.,"The speaker's language is straightforward and factual, without any attempt to sensationalize.",The speaker uses some emotive language but generally maintains a balanced tone.,The speaker frequently uses hyperbolic or provocative language to create a strong emotional response.,negative,1.0
Nationality,Nationality,False,General,,,,,,1.0
Drollness,Drollness,True,Personality,"This facet measures the extent to which a conversation turn exhibits dry, witty, or ironic humor.","The speaker's tone is completely serious, with no hint of humor or irony.","The speaker occasionally uses understatement or mild wit, but it is not a dominant feature of their communication style.","The speaker consistently uses droll, witty, or ironic language to convey their points in an amusing way.",positive,1.0
Cooperation,Cooperation,True,Social,This facet measures the degree to which a conversation turn demonstrates a willingness to collaborate or work together.,"The speaker shows no interest in collaborating, instead focusing solely on their own perspective or goals.",The speaker is open to some level of cooperation but may still prioritize their own needs or opinions.,"The speaker actively seeks to collaborate, listening to others and adapting their approach to achieve mutual goals.",positive,1.0
Breakfast-skipping frequency,Breakfast-skipping frequency,False,General,,,,,,1.0
Impulsivity,Impulsivity,True,Personality,This facet measures the extent to which a conversation turn is characterized by impulsive or spontaneous comments.,"The speaker's responses are thoroughly considered and reflective, showing no signs of impulsivity.",The speaker sometimes makes spontaneous comments but generally balances these with more thoughtful contributions.,"The speaker frequently makes impulsive or off-the-cuff remarks, often without considering the potential consequences.",negative,1.0
Museum visits/year,Museum visits/year,False,General,,,,,,1.0
Choir participation years,Choir participation years,False,Social,,,,,,1.0
Delegation Ability,Delegation Ability,True,Behavioral,This facet measures the degree to which a conversation turn demonstrates the ability to effectively assign tasks or responsibilities to others.,"The speaker shows no ability or willingness to delegate tasks, instead trying to handle everything themselves.",The speaker occasionally delegates tasks but may not provide clear instructions or support.,"The speaker consistently demonstrates the ability to effectively delegate tasks, providing clear guidance and resources to others.",positive,1.0
Desire to influence others,Desire to influence others,True,General,This facet measures the extent to which a conversation turn is aimed at persuading or influencing the opinions or actions of others.,"The speaker shows no interest in influencing others, instead focusing solely on expressing their own thoughts or feelings.",The speaker occasionally attempts to persuade others but does so in a relatively subtle or indirect manner.,"The speaker actively and explicitly tries to influence others, using various persuasive strategies to achieve their goals.",neutral,1.0
Vivacity,Vivacity,True,Personality,"This facet measures the degree to which a conversation turn is characterized by energy, enthusiasm, and a lively tone.","The speaker's tone is dull and unenthusiastic, lacking any sense of energy or vivacity.",The speaker shows some enthusiasm but their overall tone is still relatively subdued or neutral.,"The speaker consistently exhibits a lively, energetic, and engaging tone, conveying their ideas with enthusiasm and passion.",positive,1.0
Genialness,Genialness,True,Personality,"This facet measures the extent to which a conversation turn is friendly, approachable, and warm in tone.","The speaker's tone is cold, distant, or unfriendly, showing no signs of genialness.",The speaker is generally polite but may not go out of their way to be friendly or welcoming.,"The speaker consistently exhibits a warm, friendly, and approachable tone, making others feel at ease.",positive,1.0
Cognitive measure: Working Memory Index,Cognitive measure: Working Memory Index,True,Cognitive,This facet measures the degree to which a conversation turn demonstrates the ability to hold and manipulate information in working memory.,"The speaker struggles to recall or retain information, showing significant difficulties with working memory.",The speaker can manage basic information but may struggle with more complex or detailed tasks.,"The speaker consistently demonstrates the ability to effectively hold and manipulate information in working memory, handling complex tasks with ease.",positive,1.0
Ethical practices,Ethical practices,True,Safety/Ethics,This facet measures the extent to which a conversation turn adheres to ethical principles and standards.,"The speaker shows a blatant disregard for ethical considerations, prioritizing personal gain over moral principles.",The speaker generally follows ethical guidelines but may occasionally bend or interpret rules for convenience.,"The speaker consistently upholds the highest ethical standards, demonstrating a strong commitment to moral principles and integrity.",positive,1.0
Civility,Civility,True,Personality,"This facet measures the degree to which a conversation turn is characterized by politeness, courtesy, and respect for others.","The speaker is consistently rude, dismissive, or disrespectful, showing no regard for civility.",The speaker is generally polite but may occasionally lapse into less courteous behavior.,"The speaker consistently exhibits exceptional civility, treating others with respect, kindness, and consideration.",positive,1.0
Sleep Apnea,Sleep Apnea,False,General,,,,,,1.0
Classiness,Classiness,True,General,"This facet measures the extent to which a conversation turn demonstrates refinement, elegance, and cultural sophistication.","The speaker's language and behavior are crude, lacking any semblance of refinement or cultural awareness.",The speaker shows some awareness of cultural norms but may not consistently demonstrate classy behavior.,"The speaker consistently exhibits exceptional classiness, displaying refined taste, cultural sophistication, and elegant communication skills.",positive,1.0
Control over situations,Control over situations,True,General,"This facet measures the degree to which a conversation turn demonstrates the ability to manage, direct, or influence the course of events.","The speaker shows no ability to control or direct the conversation, often appearing passive or reactive.",The speaker occasionally attempts to take control but may struggle to maintain direction or momentum.,"The speaker consistently demonstrates the ability to effectively control and direct the conversation, achieving their intended outcomes.",positive,1.0
Time outdoors/day (h),Time outdoors/day (h),False,General,,,,,,1.0
Effeteness,Effeteness,True,General,"This facet measures the extent to which a conversation turn is characterized by excessive refinement, delicacy, or affectedness.","The speaker's tone is straightforward and lacking in pretension, showing no signs of effeteness.",The speaker may use some elaborate language but generally avoids excessive refinement or affectedness.,"The speaker consistently exhibits an overly refined, delicate, or affected tone, prioritizing style over substance.",negative,1.0
Polygenic risk: cardiovascular disease,Polygenic risk: cardiovascular disease,False,Personality,,,,,,1.0
Psychological construct: Identity Diffusion level,Psychological construct: Identity Diffusion level,True,Cognitive,,,,,,1.0
Learning through movement,Learning through movement,True,General,This facet measures the degree to which an individual uses physical activity or movement to learn or understand new concepts in a conversation turn,The speaker does not mention using physical activity to learn or understand new concepts,"The speaker occasionally mentions using physical activity to learn or understand new concepts, but it is not a primary method",The speaker frequently uses physical activity as a primary method to learn or understand new concepts,positive,1.0
